[2024-05-15 10:43:39,828] [INFO] [real_accelerator.py:191:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[TensorRT-LLM] TensorRT-LLM version: 0.8.0loading tokenizer
loading model
[INFO]: vision_tower:  /lpai/volumes/cloudmodel-muses/weidafeng/pretrained_models/huggingface_converted/openai/clip-vit-large-patch14-336
[INFO]: using siglip encoder siglip
prompt: ('[INST] <image>\n你是一个能够分析理解各种复杂驾驶场景的智能驾驶系统.请根据图片从以下场景标签中选择所有符合当前场景的标签,满足条件的场景必须是对自车行车决策会产生影响的场景:[无灯路,坑洼路,泥泞路,事故,道路施工,临时红绿灯],场景标签可以有一个到多个,以列表形式表达,顺序无关.还要描述当前驾驶场景的时间,黑天或白天,描述道路类型,前方备选车道和自车所在的车道位置.备选车道代表自车可以变道的目标车道,以列表形式表达,顺序为左邻车道,自车车道,右邻车道,例如[无,普通,公交]代表前方没有左邻车道,自车车道是普通车道,右邻是公交车道. 自车所在车道分为左侧,中间,右侧,单车道,无,代表自车在所行驶方向道路的相对位置. 最后用一句话描述当前场景并给出应对当前驾驶场景的驾驶建议. 每个维度信息都用key:value对形式表达. [/INST]',)
before self.sequence_length_buffer tensor([1], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([821], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([832], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([833], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([834], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([835], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([836], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([837], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([838], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([839], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([840], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([841], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([842], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([843], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([844], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([845], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([846], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([847], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([848], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([849], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([850], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([851], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([852], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([853], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([854], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([855], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([856], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([857], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([858], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([859], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([860], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([861], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([862], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([863], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([864], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([865], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([866], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([867], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([868], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([869], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([870], device='cuda:0', dtype=torch.int32)
before self.sequence_length_buffer tensor([871], device='cuda:0', dtype=torch.int32)
self.total_time 0.0
total_time 1.5370771884918213
Step 0 : 2.8708109855651855 s
Outputs: ['场景:[无灯路];时间:无;道路类型:无;备选车道:[无,无,无];自车车道:无;文本:车辆未处于任何车道中;前方道路光线昏暗,车辆将慢速行驶,避免发生急刹. ']
outputs.numel(): 59
Total new token: tensor([[59]], device='cuda:0', dtype=torch.int32)
Avg acc len: 0
